"","Site","Oi_sum","Oe_sum","Oa_sum","E_sum","Bhs_sum","Bs_sum","BC_sum","C_sum","Bhb_sum","B_sum","R_sum","Bs1_sum","Bs2_sum","Bhs1_sum","Bhs2_sum","Bh_sum","BC?_sum","E1_sum","E2_sum","A_sum","Eb_sum","BCb'_sum","Eb'_sum","Bsb_sum","BCb''_sum","BC'1_sum","BC'2_sum","BC'3_sum","E/Bg_sum","Bh?_sum","E/Bhs1_sum","Oa1_sum","Oa2_sum","C1_sum","C2_sum","E/Bhs_sum","Bh1_sum","Bh2_sum","E/B_sum","B?_sum","O_sum","HPU","Bottom_Interface","Total_Depth","allO_thickness","allE_thickness","allBhs_thickness","allBs_thickness","allBh_thickness","allBg_thickness","allBw_thickness","allBC_thickness","allC_thickness","Sub","Site2","x","y","geometry"
"39","42R16C12",0,0,0,3,37,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,NA,"R","59",10,3,37,0,0,0,0,0,0,42,"R16C12",281655.644,4871196.041,c(281655.644, 4871196.041)
"40","42R16C13",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,NA,"R","42",9,0,3,0,30,0,0,0,0,42,"R16C13",281660.667,4871195.989,c(281660.667, 4871195.989)
"41","42R16C6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,NA,"R","41",12,0,0,0,29,0,0,0,0,42,"R16C6",281626.249,4871200.385,c(281626.249, 4871200.385)
"42","42R16C7",0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,30,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,NA,"R","51",7,0,10,0,30,0,0,0,0,42,"R16C7",281629.966,4871196.727,c(281629.966, 4871196.727)
"43","42R16C8",0,0,0,0,21,0,0,5,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,NA,"R","48",11,0,21,0,11,0,0,0,0,42,"R16C8",281635.645,4871195.314,c(281635.645, 4871195.314)
"44","42R16C9",0,0,0,1,4,0,0,3,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,NA,"R","57",9,1,4,0,40,0,0,0,0,42,"R16C9",281640.48,4871195.898,c(281640.48, 4871195.898)
"45","42R17C10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,NA,"R","8",8,0,0,0,0,0,0,0,0,42,"R17C10",281644.317,4871190.914,c(281644.317, 4871190.914)
"46","42R17C11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,NA,"R","12",12,0,0,0,0,0,0,0,0,42,"R17C11",281646.22,4871192.229,c(281646.22, 4871192.229)
"47","42R17C12",0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,NA,"R","52",18,0,0,0,16,0,0,0,0,42,"R17C12",281653.813,4871191.154,c(281653.813, 4871191.154)
"48","42R17C13",0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,NA,"R","26",8,0,18,0,0,0,0,0,0,42,"R17C13",281658.175,4871192.037,c(281658.175, 4871192.037)
"49","42R17C6",0,0,0,18,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,NA,"R","54",6,18,0,0,0,0,0,0,0,42,"R17C6",281623.056,4871196.751,c(281623.056, 4871196.751)
"50","42R17C7",0,0,0,0,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,NA,"R","67",7,0,30,0,0,0,0,0,0,42,"R17C7",281626.27,4871192.661,c(281626.27, 4871192.661)
"51","42R17C8",0,0,0,0,15,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,NA,"R","31",6,0,15,0,0,0,0,0,0,42,"R17C8",281632.912,4871192.061,c(281632.912, 4871192.061)
"52","42R17C9",0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,NA,"R","59",8,0,0,0,12,0,0,0,0,42,"R17C9",281637.583,4871190.61,c(281637.583, 4871190.61)
"53","42R18C10",0,0,0,0,18,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,NA,"R","51",6,0,18,0,0,0,0,0,0,42,"R18C10",281646.149,4871185.554,c(281646.149, 4871185.554)
"54","42R18C11",0,0,0,0,36,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,NA,"R","51",6,0,36,0,0,0,0,0,0,42,"R18C11",281650.292,4871189.315,c(281650.292, 4871189.315)
"55","42R18C12",0,0,0,0,9,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,NA,"R","34",6,0,9,0,0,0,0,0,0,42,"R18C12",281656.976,4871188.007,c(281656.976, 4871188.007)
"56","42R18C13",0,0,0,0,33,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,NA,"R","65",8,0,33,0,0,0,0,0,0,42,"R18C13",281659.721,4871188.078,c(281659.721, 4871188.078)
"57","42R18C7",0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,NA,"R","73",9,0,0,0,36,0,0,0,0,42,"R18C7",281630.976,4871189.271,c(281630.976, 4871189.271)
"58","42R18C8",0,0,0,0,15,0,16,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,NA,"R","64",9,0,15,0,0,0,0,16,0,42,"R18C8",281634.693,4871188.044,c(281634.693, 4871188.044)
